shipment_id,total_cost
1688732805,0.00
2350769638,59.00
1308028086,0.00
2044889134,59.00
1214920102,208.00
1742952801,0.00
3491659572,0.00
513919968,59.00
3645234535,0.00
3674408869,0.00
2874357647,59.00
1759187016,0.00
756997633,0.00
1406439799,0.00
1620938111,0.00
2316858594,59.00
180691651,59.00
2869978548,59.00
697795924,59.00
3749602002,0.00
2821598453,0.00
2929279236,59.00
1043007893,0.00
1291750952,0.00
1414542182,0.00
3671505178,228.00
1476326274,59.00
2668495387,0.00
1167495559,59.00
1997782883,0.00
2778782713,189.00
1331078463,59.00
1634070402,59.00
2102855782,0.00
1130209808,59.00
842962339,59.00
2820968983,59.00
2501508278,0.00
2451778423,0.00
1889076304,0.00
2605840504,50.00
4014976688,0.00
1751269343,0.00
2481039910,59.00
1958907768,0.00
249743166,0.00
3648281350,263.00
3786902310,59.00
2567381349,0.00
315343342,0.00
3440402354,0.00
1597980559,188.00
1176554338,59.00
3187717029,0.00
2886466825,0.00
2053704051,0.00
25048900,0.00
3276477828,0.00
61425996,0.00
1192474560,213.00
48800827,0.00
2181689554,59.00
2667888114,0.00
3477957196,0.00
2352357273,0.00
465513533,239.00
1532539331,59.00
4045996566,0.00
1975501529,0.00
1673866867,59.00
3792978730,0.00
351739562,50.00
2345753869,0.00
4146900841,0.00
3191559607,0.00
39197765,134.00
2670704398,59.00
3494898448,0.00
1138507349,59.00
2573111757,0.00
3932723971,0.00
1136009642,0.00
1258153718,0.00
983163315,59.00
4196940824,0.00
1336914521,59.00
1932040390,0.00
2387745690,59.00
3152527419,59.00
3413436841,0.00
1112276273,159.00
2132368907,0.00
62228406,0.00
479859839,0.00
130556913,0.00
1842180517,0.00
3447395745,59.00
3277124152,0.00
3025586881,59.00
4076735750,208.00
3443595660,59.00
4049083504,0.00
1607455108,0.00
2552475529,0.00
1494746973,0.00
4099304792,0.00
494307,0.00
3803112436,59.00
1962809887,228.00
3942712734,0.00
197876042,59.00
2548375453,59.00
2130521839,0.00
1851456474,199.00
2040402554,59.00
1454134127,59.00
1282636048,59.00
2772111236,59.00
1073101630,0.00
2072826528,0.00
243906838,0.00
713617354,224.00
762738686,0.00
2161247640,228.00
2606887692,59.00
1297575191,0.00
822289868,0.00
535282555,0.00
3697206456,59.00
1314075296,228.00
2993365143,59.00
1308959249,59.00
1319358465,0.00
1556243209,59.00
3073329499,59.00
2427082522,0.00
1291972408,0.00
3544755910,59.00
3271054055,0.00
1302247228,59.00
185866335,59.00
693291211,59.00
3726727340,0.00
1580974273,59.00
3419624512,0.00
4141574906,0.00
2733359381,0.00
1572538859,208.00
2562939818,0.00
285819165,59.00
2999119002,0.00
3572346523,59.00
3963843818,59.00
1512582604,0.00
3765465833,0.00
1159811885,0.00
957200096,59.00
4241179275,59.00
2744845156,59.00
3199367392,109.00
12503955,90.00
3525638452,59.00
1168623078,71.00
4066574353,39.00
2834813936,0.00
1837233101,0.00
881786149,0.00
2638468687,59.00
2814256107,0.00
813268783,59.00
3475150190,0.00
2352701069,0.00
2326547421,59.00
626748393,0.00
1568566555,94.00
1459686797,0.00
918457478,59.00
2275277687,0.00
2182218660,208.00
984421280,0.00
3097061830,0.00
2308661305,179.00
504031262,59.00
483361457,578.00
559889060,59.00
2146353279,0.00
744762546,0.00
2359784142,0.00
3543263692,0.00
1791771683,0.00
2683871082,59.00
3449358475,0.00
361042869,0.00
2988812821,0.00
2814005374,228.00
59557237,0.00
559257274,59.00
2171208257,59.00
2993824030,239.00
2768925943,0.00
2762813257,0.00
1987235357,0.00
2249747900,109.00
431389076,0.00
2992325894,59.00
4164897473,0.00
1137930612,0.00
2698529696,228.00
4015193195,0.00
4000572154,59.00
3367540098,0.00
3577673189,94.00
2178644678,0.00
1492423508,129.00
2318058847,0.00
1092279041,0.00
3316958211,0.00
694932587,59.00
1027668532,0.00
4089539287,59.00
4000488177,59.00
2655750480,188.00
869521382,59.00
228547833,0.00
4195082622,59.00
2665805333,228.00
2723750202,59.00
2538661490,59.00
3041686201,59.00
3765769199,0.00
3635017668,149.00
3311560006,59.00
2705102972,0.00
4228784283,0.00
52345671,0.00
2993684865,0.00
2044802039,0.00
3447761903,59.00
1339035927,0.00
2348079865,59.00
200114148,59.00
18355521,0.00
74683751,0.00
226443653,0.00
3592940193,59.00
2906207630,0.00
4230677174,59.00
3761411067,228.00
3916953850,184.00
1064723554,59.00
1836945839,59.00
3516200619,0.00
3905536623,0.00
448983464,0.00
209699119,59.00
