retailer_id,store_id,shipment_id,shipped_dttm,refund_id,refund_created_dttm,return_reason,return_kind,goods_sum,cogs_sum,retailer_sku,product_sku,master_category,parent_category,item_return_quantity,item_price,total_item_price,total_item_return_sum,total_item_sum,marking_system,order_state
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,560744,19820720,Все для выпечки и десертов,Бакалея,1.0,4.98,4.98,4.98,24.9,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,965177,19876290,"Мармелад, зефир, пастила",Сладости,2.0,36.98,36.98,73.96,73.96,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,814983,19830868,Томатная паста,"Соусы, специи и приправы",4.0,29.98,29.98,119.92,119.92,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,460028,19280129,Растительные масла,Бакалея,1.0,92.49,92.49,92.49,92.49,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,41045,24924834,Чай,"Чай, кофе, какао",1.0,229.49,229.49,229.49,229.49,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,560747,19820721,Все для выпечки и десертов,Бакалея,5.0,5.98,5.98,29.9,29.9,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,786046,134515,Приправы,"Соусы, специи и приправы",1.0,54.99,54.99,54.99,54.99,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,473535,20561327,Приправы,"Соусы, специи и приправы",1.0,54.99,54.99,54.99,54.99,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,87407,34686,Приправы,"Соусы, специи и приправы",2.0,33.49,33.49,66.98,66.98,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,473354,32895,Приправы,"Соусы, специи и приправы",1.0,39.9,39.9,39.9,39.9,,complete
15,260,2290678527162498793,2023-01-10T18:46:45,844756,2023-01-10T19:01:00,Недовоз,part,3902.59,3902.59,809891,15236675,Чай,"Чай, кофе, какао",1.0,99.9,99.9,99.9,99.9,,complete
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,567212,1547979,Йогурты,"Молочные продукты, яйца",2.0,59.99,59.99,119.98,119.98,"{mercury,chestny_znak}",canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,678380,22199741,Сыры,Сыры,1.0,69.99,69.99,69.99,69.99,"{mercury,chestny_znak}",canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,121130,1467067,Сыры,Сыры,1.0,94.99,94.99,94.99,94.99,"{mercury,chestny_znak}",canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,677149,22644997,Йогурты,"Молочные продукты, яйца",1.0,65.99,65.99,65.99,65.99,"{mercury,chestny_znak}",canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,31876,22482,Сыры,Сыры,1.0,89.99,89.99,89.99,89.99,"{mercury,chestny_znak}",canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,168210,30105,Свежие овощи,"Овощи, зелень, грибы",0.356,123.59,44.0,44.0,44.0,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,673309,23373034,"Печенье, пряники, вафли",Сладости,1.0,114.99,114.99,114.99,114.99,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,641644,20407049,Свежие овощи,"Овощи, зелень, грибы",1.0,89.99,89.99,89.99,89.99,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,654522,18794294,"Печенье, пряники, вафли",Сладости,1.0,49.99,49.99,49.99,49.99,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,11230,10712,Свежие фрукты,Фрукты и ягоды,1.072,89.99,96.47,96.47,96.47,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,172231,20407264,"Зелень, салаты, смеси","Овощи, зелень, грибы",0.418,189.99,79.42,79.42,79.42,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,41203,72224,Свежие овощи,"Овощи, зелень, грибы",0.462,287.89,133.01,133.01,133.01,,canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,273300,198981,Молоко,"Молочные продукты, яйца",1.0,90.1,90.1,90.1,90.1,"{mercury,chestny_znak}",canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,659894,131103,Колбасы,Колбасные изделия и мясные деликатесы,1.0,285.95,285.95,285.95,285.95,{mercury},canceled
8,131,4734051003389029769,,1719697,2023-05-26T18:27:55,Отмена заказа,full,1490.85,1280.15,677193,22644998,Йогурты,"Молочные продукты, яйца",1.0,65.99,65.99,65.99,65.99,"{mercury,chestny_znak}",canceled
1,104,8871281499813553772,2024-03-09T18:30:18,4752540,2024-03-10T15:23:51,Ошибка контента,part,2315.14,1991.56,206763,23301231,Мясо птицы,Мясо и птица,1.0,398.0,302.48,302.48,302.48,{mercury},complete
1,104,8871281499813553772,2024-03-09T18:30:18,4752540,2024-03-10T15:23:51,Ошибка контента,part,2315.14,1991.56,33334,1422732,Мясо птицы,Мясо и птица,1.0,269.02,269.02,269.02,269.02,{mercury},complete
1,104,8871281499813553772,2024-03-09T18:30:18,4752540,2024-03-10T15:23:51,Ошибка контента,part,2315.14,1991.56,639017,75624,Мясо птицы,Мясо и птица,1.0,445.01,422.76,422.76,422.76,{mercury},complete
8,369,1813222526734161945,2023-01-17T07:34:13,878374,2023-01-17T07:47:13,Качество товара,part,2073.32,1692.88,26417,1106258,Свежие овощи,"Овощи, зелень, грибы",0.634,124.89,79.18,79.18,79.18,,complete
8,369,1813222526734161945,2023-01-17T07:34:13,878371,2023-01-17T07:46:09,Качество товара,part,2073.32,1692.88,525353,1371323,Свежие фрукты,Фрукты и ягоды,1.0,100.03,100.03,100.03,100.03,,complete
8,783,7760698037129420456,2023-05-12T11:50:13,1625352,2023-05-12T14:37:41,Недовоз,part,1634.99,1427.83,127855,17404,Туалетная бумага и бумажные полотенца,Личная гигиена,1.0,218.99,218.99,218.99,218.99,,complete
1,127,5794928664694274558,2022-12-23T12:27:24,757543,2022-12-26T08:26:01,Другой товар,part,2040.87,1899.78,400891,22151985,Шоколад и шоколадные батончики,Сладости,2.0,359.0,359.0,718.0,718.0,,complete
8,100,11743587943180852557,,,2023-07-08T16:29:50,Отмена заказа,full,2117.04,1840.65,11230,10712,Свежие фрукты,Фрукты и ягоды,1.008,89.89,90.61,90.61,90.61,,canceled
8,100,11743587943180852557,,,2023-07-08T16:29:50,Отмена заказа,full,2117.04,1840.65,26417,1106258,Свежие овощи,"Овощи, зелень, грибы",0.556,94.38,52.48,52.48,52.48,,canceled
8,100,11743587943180852557,,,2023-07-08T16:29:50,Отмена заказа,full,2117.04,1840.65,11185,69967,Свежие овощи,"Овощи, зелень, грибы",1.012,54.89,55.55,55.55,55.55,,canceled
8,100,11743587943180852557,,,2023-07-08T16:29:50,Отмена заказа,full,2117.04,1840.65,492262,134715,Мясо птицы,Мясо и птица,1.0,329.26,329.26,329.26,329.26,{mercury},canceled
8,100,11743587943180852557,,,2023-07-08T16:29:50,Отмена заказа,full,2117.04,1840.65,586536,15906059,Сосиски и сардельки,Колбасные изделия и мясные деликатесы,1.0,377.81,377.81,377.81,377.81,{mercury},canceled
