store_id,adress,lat,lon
46564, Новосибирск Дмитрия Шмонина 10 к 1 (ЯКОРЬ),50.42,84.41
19618, Снежная,51.31,39.54
12247, Комарова,51.22,50.96
16389, ул. Варшавская,55.26,32.29
49610, Тюмень,52.58,67.17
51514, Ижевск Дзержинского,52.3,54.97
3419, Красноярск,51.51,94.3
84864, Красная Пресня,51.2,39.47
122644, Ростов-на-Дону,42.85,41.6
96276, г. Новокузнецк ул. Металлургов 23,49.27,88.53
128129, Краснодар,40.79,40.82
37911, ул. Черняховского,51.26,39.43
82276, Краснодар г,40.76,40.89
125547, г. Волгоград,44.38,46.39
46798, Новосибирск,50.48,84.38
18740, Сочи,39.13,41.8
77664, пр-т Большой Петроградской стороны,55.36,32.26
120380, Омск,50.48,74.87
6549, Большая Серпуховская 50/2с1,51.18,39.53
80995, Ярославль,53.06,41.76
134272, Орехово-Зуево,51.26,40.86
38125, Рязанский проспект  58\1,51.15,39.69
7482, Саратов,47.06,47.82
7416, Саратов,47.07,47.84
96309, Краснодар г,40.76,40.9
31022, калужское ш,49.59,39.49
122246, ул. 7-я Советская,55.3,32.33
84818, Садовнический проезд 6,51.22,39.49
84096, Тверь,52.25,37.82
46965, Уфа,50.22,57.71
19711, Магнитогорск,48.87,60.69
84727, Иркутск,47.88,105.38
5853, ул. Черняховского,51.26,39.43
86612, Первомайская 56Б,51.39,39.41
117313, Сургут,56.6,74.89
13396, Нижний Новгород,51.7,45.7
78867, ул. Бухарестская 74 к.3,55.23,32.38
3592, Марии Ульяновой,51.14,39.43
76719, Павлово,51.44,44.95
40576, 2-я Карачаровская,51.19,39.63
37261, ул. Бухарестская 74 к.3,55.24,32.32
37835, Сургут,56.6,74.96
89374, Воронеж,47.2,41.09
130091, Рязанский проспект  58\1,51.16,39.72
14080, Тюмень,52.58,67.11
8358, Тула,49.67,39.47
9164, ЗАКРЫТ_ЗАКРЫТ_Пермь,53.52,58.03
73827, Саранск,49.68,46.98
133120, улица Александра Невского,51.22,39.51
17563, Гатчина,54.94,32.11
52046, г. Новокузнецк ул. Авиаторов 43-1,49.39,88.53
92598, Омск,50.51,74.87
34806, Избербаш Лермонтова 1,38.3,49.66
34464, Ижевск Пушкинская 165,52.27,54.98
50599, пр-т Ленинский 128,55.24,32.23
101267, Вологда,54.6,41.7
25564, бульвар Яна Райниса,51.3,39.32
75717, Нижний Новгород,51.68,45.32
17091, Курган,50.9,66.99
48570, Уфа,50.24,57.74
84945, Воронеж,47.2,41.08
40685, Большая Серпуховская 50/2с1,51.17,39.51
120336, Ногинск,51.31,40.33
7264, Томск,51.95,86.45
32877, Тобольск,53.6,69.84
97368, Омск,50.47,74.77
96071, Иркутск,47.8,105.52
25359, Смоленск,50.24,34.06
32962, ул. Учительская,55.41,32.36
122300, Хабаровск,44.09,135.98
26248, Чусовская,51.28,39.72
70044, Новороссийск,40.44,39.61
45399, Ивантеевка,51.43,39.81
74977, Вологда,54.6,41.78
80948, Липкинское шоссе,51.43,39.63
51347, МО Химки,51.35,39.34
90188, Екатеринбург,52.35,62.28
134223, Анапа,40.56,39.22
41424, Казань,51.25,50.97
84431, Иркутск,47.79,105.56
27948, Мытищи,51.38,39.69
123633, Новороссийск,40.4,39.66
120836, Елец,48.13,40.39
123777, Пенза,48.72,46.79
82702, Омск,50.5,74.82
76818, Первоуральск,52.34,61.63
91056, Орел,48.43,37.93
84949, Красная Пресня,51.2,39.44
36128, Жуковский,51.06,40.0
